"date","home.team","home.score","away.team","away.score"
2019-02-02,"Barcelona",20,"Valencia",14
2019-02-02,"Celta",10,"Sevilla",13
2019-02-02,"Levante",8,"Getafe",9
2019-02-02,"Sociedad",6,"Ath Bilbao",8
2019-02-03,"Betis",7,"Ath Madrid",13
2019-02-03,"Eibar",17,"Girona",6
2019-02-03,"Real Madrid",22,"Alaves",8
2019-02-03,"Villarreal",14,"Espanol",17
2019-02-04,"Vallecano",15,"Leganes",13
2019-02-08,"Valladolid",9,"Villarreal",7
2019-02-09,"Ath Madrid",11,"Real Madrid",11
2019-02-09,"Espanol",15,"Vallecano",9
2019-02-09,"Getafe",12,"Celta",13
2019-02-09,"Girona",13,"Huesca",6
2019-02-10,"Ath Bilbao",13,"Barcelona",10
2019-02-10,"Leganes",16,"Betis",3
2019-02-10,"Sevilla",13,"Eibar",8
2019-02-10,"Valencia",10,"Sociedad",8
2019-02-11,"Alaves",16,"Levante",8
2019-02-15,"Eibar",11,"Getafe",7
2019-02-16,"Barcelona",20,"Valladolid",10
2019-02-16,"Celta",14,"Levante",14
2019-02-16,"Sociedad",15,"Leganes",8
2019-02-16,"Vallecano",12,"Ath Madrid",4
2019-02-17,"Betis",19,"Alaves",6
2019-02-17,"Real Madrid",19,"Girona",14
2019-02-17,"Valencia",21,"Espanol",6
2019-02-17,"Villarreal",12,"Sevilla",21
2019-02-18,"Huesca",12,"Ath Bilbao",9
2019-02-22,"Espanol",13,"Huesca",13
2019-02-23,"Alaves",17,"Celta",8
2019-02-23,"Ath Bilbao",9,"Eibar",7
2019-02-23,"Getafe",11,"Vallecano",7
2019-02-23,"Sevilla",13,"Barcelona",17
2019-02-24,"Ath Madrid",15,"Villarreal",14
2019-02-24,"Leganes",17,"Valencia",6
2019-02-24,"Levante",11,"Real Madrid",19
2019-02-24,"Valladolid",10,"Betis",6
2019-02-25,"Girona",10,"Sociedad",7
2019-03-01,"Vallecano",9,"Girona",12
2019-03-02,"Espanol",15,"Valladolid",14
2019-03-02,"Huesca",7,"Sevilla",12
2019-03-02,"Real Madrid",17,"Barcelona",10
2019-03-02,"Villarreal",9,"Alaves",10
2019-03-03,"Betis",6,"Getafe",11
2019-03-03,"Eibar",15,"Celta",3
2019-03-03,"Sociedad",19,"Ath Madrid",8
2019-03-03,"Valencia",11,"Ath Bilbao",4
2019-03-04,"Leganes",14,"Levante",15
2019-03-08,"Ath Bilbao",15,"Espanol",5
2019-03-09,"Alaves",16,"Eibar",20
2019-03-09,"Ath Madrid",13,"Leganes",3
2019-03-09,"Barcelona",12,"Vallecano",8
2019-03-09,"Getafe",14,"Huesca",8
2019-03-10,"Celta",7,"Betis",14
2019-03-10,"Girona",18,"Valencia",11
2019-03-10,"Levante",11,"Villarreal",13
2019-03-10,"Sevilla",22,"Sociedad",9
2019-03-10,"Valladolid",10,"Real Madrid",15
2019-03-15,"Sociedad",22,"Levante",8
2019-03-16,"Ath Bilbao",9,"Ath Madrid",9
2019-03-16,"Huesca",7,"Alaves",12
2019-03-16,"Leganes",12,"Girona",8
2019-03-16,"Real Madrid",22,"Celta",6
2019-03-17,"Betis",13,"Barcelona",16
2019-03-17,"Eibar",15,"Valladolid",8
2019-03-17,"Espanol",13,"Sevilla",12
2019-03-17,"Valencia",8,"Getafe",9
2019-03-17,"Villarreal",12,"Vallecano",7
2019-03-29,"Girona",6,"Ath Bilbao",8
2019-03-30,"Alaves",14,"Ath Madrid",11
2019-03-30,"Barcelona",13,"Espanol",4
2019-03-30,"Celta",15,"Villarreal",14
2019-03-30,"Getafe",9,"Leganes",7
2019-03-31,"Levante",7,"Eibar",17
2019-03-31,"Real Madrid",16,"Huesca",16
2019-03-31,"Sevilla",17,"Valencia",4
2019-03-31,"Valladolid",10,"Sociedad",10
2019-03-31,"Vallecano",20,"Betis",7
2019-04-02,"Ath Madrid",17,"Girona",12
2019-04-02,"Espanol",9,"Getafe",13
2019-04-02,"Villarreal",16,"Barcelona",15
2019-04-03,"Ath Bilbao",14,"Levante",11
2019-04-03,"Eibar",12,"Vallecano",13
2019-04-03,"Huesca",23,"Celta",11
2019-04-03,"Valencia",11,"Real Madrid",15
2019-04-04,"Leganes",18,"Valladolid",8
2019-04-04,"Sevilla",18,"Alaves",5
2019-04-04,"Sociedad",15,"Betis",11
2019-04-06,"Barcelona",21,"Ath Madrid",9
2019-04-06,"Girona",14,"Espanol",9
2019-04-06,"Real Madrid",13,"Eibar",3
2019-04-06,"Vallecano",15,"Valencia",12
2019-04-07,"Alaves",6,"Leganes",9
2019-04-07,"Betis",17,"Villarreal",10
2019-04-07,"Celta",11,"Sociedad",14
2019-04-07,"Getafe",6,"Ath Bilbao",9
2019-04-07,"Levante",14,"Huesca",17
2019-04-07,"Valladolid",10,"Sevilla",16
2019-04-13,"Ath Madrid",11,"Celta",10
2019-04-13,"Espanol",6,"Alaves",14
2019-04-13,"Huesca",6,"Barcelona",10
2019-04-13,"Sevilla",11,"Betis",12
2019-04-14,"Ath Bilbao",15,"Vallecano",8
2019-04-14,"Girona",14,"Villarreal",17
2019-04-14,"Sociedad",3,"Eibar",17
2019-04-14,"Valencia",23,"Levante",6
2019-04-14,"Valladolid",8,"Getafe",8
2019-04-15,"Leganes",5,"Real Madrid",13
2019-04-19,"Alaves",10,"Valladolid",12
2019-04-20,"Barcelona",11,"Sociedad",9
2019-04-20,"Celta",13,"Girona",9
2019-04-20,"Eibar",10,"Ath Madrid",8
2019-04-20,"Vallecano",16,"Huesca",10
2019-04-21,"Betis",23,"Valencia",4
2019-04-21,"Getafe",10,"Sevilla",12
2019-04-21,"Levante",19,"Espanol",14
2019-04-21,"Real Madrid",11,"Ath Bilbao",5
2019-04-21,"Villarreal",11,"Leganes",6
2019-04-23,"Alaves",6,"Barcelona",17
2019-04-23,"Huesca",12,"Eibar",7
2019-04-23,"Valladolid",13,"Girona",6
2019-04-24,"Ath Madrid",14,"Valencia",12
2019-04-24,"Espanol",9,"Celta",18
2019-04-24,"Leganes",14,"Ath Bilbao",3
2019-04-24,"Levante",6,"Betis",7
2019-04-25,"Getafe",9,"Real Madrid",12
2019-04-25,"Sevilla",20,"Vallecano",12
2019-04-25,"Sociedad",13,"Villarreal",8
2019-04-27,"Ath Bilbao",14,"Alaves",14
2019-04-27,"Ath Madrid",13,"Valladolid",13
2019-04-27,"Barcelona",23,"Levante",7
2019-04-27,"Leganes",10,"Celta",8
2019-04-28,"Girona",15,"Sevilla",7
2019-04-28,"Sociedad",11,"Getafe",12
2019-04-28,"Valencia",7,"Eibar",13
2019-04-28,"Vallecano",11,"Real Madrid",9
2019-04-28,"Villarreal",18,"Huesca",13
2019-04-29,"Betis",18,"Espanol",10
2019-05-03,"Sevilla",7,"Leganes",9
2019-05-04,"Alaves",17,"Sociedad",9
2019-05-04,"Celta",14,"Barcelona",8
2019-05-04,"Espanol",11,"Ath Madrid",11
2019-05-04,"Levante",12,"Vallecano",20
2019-05-05,"Eibar",14,"Betis",12
2019-05-05,"Getafe",13,"Girona",4
2019-05-05,"Huesca",24,"Valencia",10
2019-05-05,"Real Madrid",24,"Villarreal",15
2019-05-05,"Valladolid",10,"Ath Bilbao",9
2019-05-12,"Ath Bilbao",8,"Celta",3
2019-05-12,"Ath Madrid",11,"Sevilla",11
2019-05-12,"Barcelona",13,"Getafe",11
2019-05-12,"Betis",17,"Huesca",9
2019-05-12,"Girona",14,"Levante",6
2019-05-12,"Leganes",11,"Espanol",19
2019-05-12,"Sociedad",19,"Real Madrid",6
2019-05-12,"Valencia",10,"Alaves",10
2019-05-12,"Vallecano",16,"Valladolid",9
2019-05-12,"Villarreal",11,"Eibar",4
2019-05-18,"Alaves",14,"Girona",13
2019-05-18,"Celta",14,"Vallecano",11
2019-05-18,"Espanol",9,"Sociedad",11
2019-05-18,"Getafe",17,"Villarreal",8
2019-05-18,"Huesca",15,"Leganes",9
2019-05-18,"Levante",17,"Ath Madrid",17
2019-05-18,"Sevilla",9,"Ath Bilbao",9
2019-05-18,"Valladolid",19,"Valencia",9
2019-05-19,"Eibar",15,"Barcelona",6
2019-05-19,"Real Madrid",9,"Betis",9
2019-08-16,"Ath Bilbao",11,"Barcelona",11
2019-08-17,"Celta",7,"Real Madrid",17
2019-08-17,"Valencia",14,"Sociedad",12
2019-08-17,"Mallorca",16,"Eibar",11
2019-08-17,"Leganes",13,"Osasuna",4
2019-08-17,"Villarreal",12,"Granada",14
2019-08-18,"Alaves",9,"Levante",16
2019-08-18,"Espanol",7,"Sevilla",12
2019-08-18,"Betis",13,"Valladolid",14
2019-08-18,"Ath Madrid",5,"Getafe",6
2019-08-23,"Granada",12,"Sevilla",11
2019-08-23,"Levante",16,"Villarreal",23
2019-08-24,"Osasuna",6,"Eibar",12
2019-08-24,"Real Madrid",22,"Valladolid",9
2019-08-24,"Celta",11,"Valencia",9
2019-08-24,"Getafe",6,"Ath Bilbao",4
2019-08-25,"Alaves",10,"Espanol",5
2019-08-25,"Mallorca",12,"Sociedad",12
2019-08-25,"Leganes",10,"Ath Madrid",6
2019-08-25,"Barcelona",20,"Betis",4
2019-08-30,"Sevilla",19,"Celta",2
2019-08-30,"Ath Bilbao",15,"Sociedad",2
2019-08-31,"Osasuna",15,"Barcelona",8
2019-08-31,"Getafe",15,"Alaves",5
2019-08-31,"Levante",16,"Valladolid",15
2019-08-31,"Betis",17,"Leganes",19
2019-09-01,"Valencia",9,"Mallorca",12
2019-09-01,"Ath Madrid",7,"Eibar",6
2019-09-01,"Espanol",15,"Granada",14
2019-09-01,"Villarreal",10,"Real Madrid",17
2019-09-13,"Mallorca",10,"Ath Bilbao",11
2019-09-14,"Real Madrid",25,"Levante",8
2019-09-14,"Leganes",10,"Villarreal",8
2019-09-14,"Sociedad",14,"Ath Madrid",12
2019-09-14,"Barcelona",17,"Valencia",9
2019-09-15,"Eibar",11,"Espanol",7
2019-09-15,"Alaves",7,"Sevilla",19
2019-09-15,"Celta",4,"Granada",13
2019-09-15,"Valladolid",11,"Osasuna",17
2019-09-15,"Betis",7,"Getafe",12
2019-09-20,"Osasuna",12,"Betis",7
2019-09-21,"Villarreal",18,"Valladolid",7
2019-09-21,"Levante",13,"Eibar",18
2019-09-21,"Ath Madrid",20,"Celta",6
2019-09-21,"Granada",9,"Barcelona",8
2019-09-22,"Getafe",14,"Mallorca",7
2019-09-22,"Espanol",17,"Sociedad",10
2019-09-22,"Valencia",13,"Leganes",13
2019-09-22,"Ath Bilbao",13,"Alaves",5
2019-09-22,"Sevilla",9,"Real Madrid",7
2019-09-24,"Valladolid",9,"Granada",6
2019-09-24,"Betis",17,"Levante",17
2019-09-24,"Barcelona",8,"Villarreal",11
2019-09-25,"Leganes",7,"Ath Bilbao",9
2019-09-25,"Mallorca",9,"Ath Madrid",13
2019-09-25,"Valencia",8,"Getafe",18
2019-09-25,"Real Madrid",15,"Osasuna",4
2019-09-26,"Eibar",11,"Sevilla",7
2019-09-26,"Celta",14,"Espanol",10
2019-09-26,"Sociedad",21,"Alaves",5
2019-09-27,"Villarreal",17,"Betis",11
2019-09-28,"Ath Bilbao",14,"Valencia",10
2019-09-28,"Getafe",8,"Barcelona",10
2019-09-28,"Granada",11,"Leganes",15
2019-09-28,"Ath Madrid",7,"Real Madrid",14
2019-09-29,"Espanol",16,"Valladolid",9
2019-09-29,"Eibar",7,"Celta",3
2019-09-29,"Alaves",11,"Mallorca",5
2019-09-29,"Levante",10,"Osasuna",18
2019-09-29,"Sevilla",21,"Sociedad",5
2019-10-04,"Betis",12,"Eibar",8
2019-10-05,"Leganes",25,"Levante",9
2019-10-05,"Real Madrid",17,"Granada",8
2019-10-05,"Valencia",11,"Alaves",10
2019-10-05,"Osasuna",16,"Villarreal",16
2019-10-06,"Mallorca",9,"Espanol",11
2019-10-06,"Celta",13,"Ath Bilbao",6
2019-10-06,"Valladolid",5,"Ath Madrid",9
2019-10-06,"Sociedad",6,"Getafe",13
2019-10-06,"Barcelona",15,"Sevilla",16
2019-10-18,"Granada",6,"Osasuna",9
2019-10-19,"Eibar",5,"Barcelona",9
2019-10-19,"Ath Madrid",15,"Valencia",11
2019-10-19,"Getafe",5,"Leganes",7
2019-10-19,"Mallorca",5,"Real Madrid",13
2019-10-20,"Alaves",12,"Celta",14
2019-10-20,"Sociedad",18,"Betis",12
2019-10-20,"Espanol",18,"Villarreal",11
2019-10-20,"Ath Bilbao",19,"Valladolid",9
2019-10-20,"Sevilla",19,"Levante",12
2019-10-25,"Villarreal",19,"Alaves",12
2019-10-26,"Leganes",9,"Mallorca",9
2019-10-26,"Valladolid",8,"Eibar",13
2019-10-26,"Ath Madrid",9,"Ath Bilbao",9
2019-10-27,"Celta",9,"Sociedad",9
2019-10-27,"Granada",13,"Betis",12
2019-10-27,"Levante",7,"Espanol",14
2019-10-27,"Sevilla",15,"Getafe",9
2019-10-27,"Osasuna",21,"Valencia",2
2019-10-29,"Alaves",11,"Ath Madrid",9
2019-10-29,"Barcelona",18,"Valladolid",9
2019-10-30,"Sociedad",17,"Levante",13
2019-10-30,"Valencia",10,"Sevilla",10
2019-10-30,"Ath Bilbao",7,"Espanol",12
2019-10-30,"Betis",11,"Celta",18
2019-10-30,"Real Madrid",22,"Leganes",5
2019-10-31,"Eibar",25,"Villarreal",9
2019-10-31,"Mallorca",11,"Osasuna",12
2019-10-31,"Getafe",8,"Granada",10
2019-11-02,"Espanol",13,"Valencia",11
2019-11-02,"Levante",9,"Barcelona",9
2019-11-02,"Sevilla",11,"Ath Madrid",14
2019-11-02,"Real Madrid",22,"Betis",13
2019-11-03,"Valladolid",12,"Mallorca",14
2019-11-03,"Villarreal",11,"Ath Bilbao",12
2019-11-03,"Osasuna",19,"Alaves",11
2019-11-03,"Celta",6,"Getafe",9
2019-11-03,"Leganes",12,"Eibar",7
2019-11-03,"Granada",5,"Sociedad",9
2019-11-08,"Sociedad",11,"Leganes",6
2019-11-09,"Alaves",14,"Valladolid",7
2019-11-09,"Valencia",12,"Granada",13
2019-11-09,"Eibar",14,"Real Madrid",10
2019-11-09,"Barcelona",10,"Celta",6
2019-11-10,"Mallorca",5,"Villarreal",22
2019-11-10,"Ath Bilbao",23,"Levante",8
2019-11-10,"Ath Madrid",18,"Espanol",10
2019-11-10,"Getafe",14,"Osasuna",4
2019-11-10,"Betis",18,"Sevilla",10
2019-11-22,"Levante",13,"Mallorca",14
2019-11-23,"Leganes",9,"Barcelona",11
2019-11-23,"Betis",25,"Valencia",9
2019-11-23,"Granada",9,"Ath Madrid",17
2019-11-23,"Real Madrid",18,"Sociedad",11
2019-11-24,"Espanol",6,"Getafe",11
2019-11-24,"Osasuna",12,"Ath Bilbao",6
2019-11-24,"Eibar",18,"Alaves",7
2019-11-24,"Villarreal",15,"Celta",11
2019-11-24,"Valladolid",7,"Sevilla",4
2019-11-29,"Celta",13,"Valladolid",9
2019-11-30,"Alaves",8,"Real Madrid",12
2019-11-30,"Sociedad",15,"Eibar",10
2019-11-30,"Mallorca",16,"Betis",15
2019-11-30,"Valencia",13,"Villarreal",24
2019-12-01,"Sevilla",16,"Leganes",8
2019-12-01,"Ath Bilbao",14,"Granada",8
2019-12-01,"Espanol",12,"Osasuna",14
2019-12-01,"Getafe",13,"Levante",7
2019-12-01,"Ath Madrid",17,"Barcelona",13
2019-12-06,"Villarreal",23,"Ath Madrid",18
2019-12-07,"Real Madrid",18,"Espanol",6
2019-12-07,"Granada",13,"Alaves",5
2019-12-07,"Levante",17,"Valencia",10
2019-12-07,"Barcelona",25,"Mallorca",9
2019-12-08,"Eibar",6,"Getafe",6
2019-12-08,"Betis",10,"Ath Bilbao",8
2019-12-08,"Valladolid",4,"Sociedad",16
2019-12-08,"Leganes",15,"Celta",9
2019-12-08,"Osasuna",10,"Sevilla",13
2019-12-13,"Alaves",10,"Leganes",3
2019-12-14,"Granada",18,"Levante",13
2019-12-14,"Sociedad",19,"Barcelona",9
2019-12-14,"Ath Bilbao",8,"Eibar",8
2019-12-14,"Ath Madrid",19,"Osasuna",15
2019-12-15,"Getafe",7,"Valladolid",10
2019-12-15,"Celta",18,"Mallorca",8
2019-12-15,"Espanol",16,"Betis",10
2019-12-15,"Sevilla",24,"Villarreal",9
2019-12-15,"Valencia",9,"Real Madrid",19
2019-12-18,"Barcelona",9,"Real Madrid",17
2019-12-20,"Eibar",21,"Granada",12
2019-12-21,"Mallorca",8,"Sevilla",13
2019-12-21,"Barcelona",8,"Alaves",5
2019-12-21,"Villarreal",11,"Getafe",7
2019-12-21,"Valladolid",14,"Valencia",5
2019-12-22,"Leganes",11,"Espanol",9
2019-12-22,"Osasuna",19,"Sociedad",13
2019-12-22,"Betis",15,"Ath Madrid",8
2019-12-22,"Levante",13,"Celta",12
2019-12-22,"Real Madrid",20,"Ath Bilbao",8
2020-01-03,"Valladolid",14,"Leganes",12
2020-01-03,"Sevilla",9,"Ath Bilbao",6
2020-01-04,"Valencia",9,"Eibar",10
2020-01-04,"Getafe",15,"Real Madrid",10
2020-01-04,"Ath Madrid",17,"Levante",6
2020-01-04,"Espanol",8,"Barcelona",14
2020-01-05,"Granada",7,"Mallorca",17
2020-01-05,"Sociedad",10,"Villarreal",14
2020-01-05,"Alaves",6,"Betis",10
2020-01-05,"Celta",20,"Osasuna",8
2020-01-17,"Leganes",8,"Getafe",8
2020-01-18,"Levante",20,"Alaves",14
2020-01-18,"Real Madrid",13,"Sevilla",8
2020-01-18,"Osasuna",21,"Valladolid",5
2020-01-18,"Eibar",9,"Ath Madrid",12
2020-01-19,"Mallorca",13,"Valencia",8
2020-01-19,"Betis",14,"Sociedad",7
2020-01-19,"Villarreal",21,"Espanol",16
2020-01-19,"Ath Bilbao",22,"Celta",7
2020-01-19,"Barcelona",18,"Granada",5
2020-01-24,"Osasuna",15,"Levante",6
2020-01-25,"Espanol",9,"Ath Bilbao",11
2020-01-25,"Valencia",8,"Barcelona",14
2020-01-25,"Alaves",12,"Villarreal",11
2020-01-25,"Sevilla",12,"Granada",8
2020-01-26,"Ath Madrid",14,"Leganes",10
2020-01-26,"Celta",18,"Eibar",5
2020-01-26,"Getafe",7,"Betis",8
2020-01-26,"Sociedad",14,"Mallorca",8
2020-01-26,"Valladolid",4,"Real Madrid",12
2020-02-01,"Granada",8,"Espanol",22
2020-02-01,"Real Madrid",16,"Ath Madrid",4
2020-02-01,"Mallorca",16,"Valladolid",15
2020-02-01,"Valencia",9,"Celta",11
2020-02-02,"Leganes",12,"Sociedad",2
2020-02-02,"Eibar",8,"Betis",14
2020-02-02,"Ath Bilbao",8,"Getafe",9
2020-02-02,"Sevilla",14,"Alaves",4
2020-02-02,"Villarreal",9,"Osasuna",17
2020-02-02,"Barcelona",23,"Levante",10
2020-02-07,"Alaves",9,"Eibar",5
2020-02-08,"Levante",9,"Leganes",12
2020-02-08,"Getafe",22,"Valencia",5
2020-02-08,"Valladolid",8,"Villarreal",8
2020-02-08,"Ath Madrid",6,"Granada",10
2020-02-09,"Espanol",12,"Mallorca",7
2020-02-09,"Sociedad",14,"Ath Bilbao",6
2020-02-09,"Osasuna",14,"Real Madrid",17
2020-02-09,"Celta",13,"Sevilla",12
2020-02-09,"Betis",7,"Barcelona",10
2020-02-14,"Valencia",9,"Ath Madrid",8
2020-02-15,"Mallorca",14,"Alaves",10
2020-02-15,"Barcelona",12,"Getafe",7
2020-02-15,"Villarreal",14,"Levante",11
2020-02-15,"Granada",11,"Valladolid",6
2020-02-16,"Sevilla",18,"Espanol",5
2020-02-16,"Leganes",11,"Betis",3
2020-02-16,"Ath Bilbao",12,"Osasuna",6
2020-02-16,"Real Madrid",15,"Celta",5
2020-02-21,"Betis",19,"Mallorca",11
2020-02-22,"Celta",3,"Leganes",11
2020-02-22,"Barcelona",13,"Eibar",12
2020-02-22,"Sociedad",19,"Valencia",6
2020-02-22,"Levante",8,"Real Madrid",19
2020-02-23,"Osasuna",14,"Granada",10
2020-02-23,"Alaves",4,"Ath Bilbao",13
2020-02-23,"Valladolid",21,"Espanol",6
2020-02-23,"Getafe",10,"Sevilla",8
2020-02-23,"Ath Madrid",16,"Villarreal",10
2020-02-28,"Sociedad",13,"Valladolid",6
2020-02-29,"Eibar",13,"Levante",11
2020-02-29,"Valencia",10,"Betis",14
2020-02-29,"Leganes",19,"Alaves",8
2020-02-29,"Granada",14,"Celta",6
2020-03-01,"Sevilla",12,"Osasuna",14
2020-03-01,"Ath Bilbao",18,"Villarreal",10
2020-03-01,"Espanol",9,"Ath Madrid",5
2020-03-01,"Mallorca",4,"Getafe",9
2020-03-01,"Real Madrid",13,"Barcelona",9
2020-03-06,"Alaves",13,"Valencia",6
2020-03-07,"Eibar",13,"Mallorca",10
2020-03-07,"Ath Madrid",21,"Sevilla",12
2020-03-07,"Barcelona",13,"Sociedad",9
2020-03-07,"Getafe",19,"Celta",3
2020-03-08,"Osasuna",17,"Espanol",8
2020-03-08,"Valladolid",19,"Ath Bilbao",10
2020-03-08,"Levante",11,"Granada",10
2020-03-08,"Villarreal",15,"Leganes",12
2020-03-08,"Betis",14,"Real Madrid",13
2020-03-10,"Eibar",13,"Sociedad",6
2020-06-11,"Sevilla",13,"Betis",12
2020-06-12,"Granada",10,"Getafe",6
2020-06-12,"Valencia",12,"Levante",14
2020-06-13,"Espanol",19,"Alaves",1
2020-06-13,"Celta",4,"Villarreal",15
2020-06-13,"Leganes",11,"Valladolid",6
2020-06-13,"Mallorca",13,"Barcelona",12
2020-06-14,"Ath Bilbao",10,"Ath Madrid",9
2020-06-14,"Real Madrid",6,"Eibar",9
2020-06-14,"Sociedad",9,"Osasuna",8
2020-06-15,"Levante",11,"Sevilla",10
2020-06-15,"Betis",18,"Granada",8
2020-06-16,"Getafe",21,"Espanol",5
2020-06-16,"Villarreal",10,"Mallorca",15
2020-06-16,"Barcelona",10,"Leganes",6
2020-06-17,"Eibar",12,"Ath Bilbao",6
2020-06-17,"Valladolid",6,"Celta",11
2020-06-17,"Osasuna",13,"Ath Madrid",10
2020-06-18,"Alaves",15,"Sociedad",9
2020-06-18,"Real Madrid",19,"Valencia",4
2020-06-19,"Granada",14,"Villarreal",5
2020-06-19,"Mallorca",7,"Leganes",16
2020-06-19,"Sevilla",8,"Barcelona",10
2020-06-20,"Espanol",10,"Levante",14
2020-06-20,"Ath Bilbao",12,"Betis",9
2020-06-20,"Getafe",9,"Eibar",8
2020-06-20,"Ath Madrid",15,"Valladolid",6
2020-06-21,"Celta",15,"Alaves",4
2020-06-21,"Valencia",7,"Osasuna",13
2020-06-21,"Sociedad",10,"Real Madrid",10
2020-06-22,"Villarreal",7,"Sevilla",14
2020-06-22,"Leganes",9,"Granada",4
2020-06-23,"Levante",12,"Ath Madrid",12
2020-06-23,"Valladolid",6,"Getafe",15
2020-06-23,"Barcelona",18,"Ath Bilbao",6
2020-06-24,"Alaves",5,"Osasuna",7
2020-06-24,"Sociedad",13,"Celta",4
2020-06-24,"Real Madrid",14,"Mallorca",11
2020-06-25,"Eibar",14,"Valencia",7
2020-06-25,"Betis",13,"Espanol",9
2020-06-26,"Sevilla",15,"Valladolid",11
2020-06-27,"Ath Bilbao",12,"Mallorca",14
2020-06-27,"Celta",10,"Barcelona",18
2020-06-27,"Osasuna",6,"Leganes",21
2020-06-27,"Ath Madrid",14,"Alaves",6
2020-06-28,"Levante",9,"Betis",17
2020-06-28,"Villarreal",17,"Valencia",4
2020-06-28,"Granada",14,"Eibar",13
2020-06-28,"Espanol",8,"Real Madrid",14
2020-06-29,"Getafe",11,"Sociedad",5
2020-06-30,"Mallorca",9,"Celta",12
2020-06-30,"Leganes",9,"Sevilla",11
2020-06-30,"Barcelona",12,"Ath Madrid",10
2020-07-01,"Alaves",11,"Granada",7
2020-07-01,"Valencia",10,"Ath Bilbao",12
2020-07-01,"Betis",9,"Villarreal",15
2020-07-01,"Valladolid",15,"Levante",8
2020-07-02,"Eibar",11,"Osasuna",9
2020-07-02,"Sociedad",12,"Espanol",4
2020-07-02,"Real Madrid",8,"Getafe",10
2020-07-03,"Ath Madrid",15,"Mallorca",13
2020-07-04,"Celta",5,"Betis",10
2020-07-04,"Valladolid",5,"Alaves",7
2020-07-04,"Granada",17,"Valencia",4
2020-07-05,"Ath Bilbao",7,"Real Madrid",10
2020-07-05,"Espanol",7,"Leganes",4
2020-07-05,"Osasuna",6,"Getafe",6
2020-07-05,"Villarreal",11,"Barcelona",18
2020-07-06,"Levante",9,"Sociedad",8
2020-07-06,"Sevilla",8,"Eibar",19
2020-07-07,"Valencia",10,"Valladolid",11
2020-07-07,"Celta",9,"Ath Madrid",10
2020-07-08,"Betis",14,"Osasuna",8
2020-07-08,"Getafe",5,"Villarreal",6
2020-07-08,"Barcelona",9,"Espanol",11
2020-07-09,"Eibar",4,"Leganes",10
2020-07-09,"Mallorca",15,"Levante",14
2020-07-09,"Ath Bilbao",13,"Sevilla",20
2020-07-10,"Sociedad",19,"Granada",4
2020-07-10,"Real Madrid",18,"Alaves",10
2020-07-11,"Osasuna",15,"Celta",12
2020-07-11,"Valladolid",13,"Barcelona",9
2020-07-11,"Ath Madrid",9,"Betis",21
2020-07-12,"Espanol",14,"Eibar",11
2020-07-12,"Levante",5,"Ath Bilbao",12
2020-07-12,"Leganes",10,"Valencia",16
2020-07-12,"Sevilla",14,"Mallorca",14
2020-07-13,"Alaves",3,"Getafe",14
2020-07-13,"Villarreal",9,"Sociedad",11
2020-07-13,"Granada",13,"Real Madrid",11
2020-07-16,"Eibar",13,"Valladolid",17
2020-07-16,"Ath Bilbao",10,"Leganes",16
2020-07-16,"Barcelona",19,"Osasuna",9
2020-07-16,"Betis",14,"Alaves",9
2020-07-16,"Celta",16,"Levante",8
2020-07-16,"Getafe",15,"Ath Madrid",11
2020-07-16,"Mallorca",18,"Granada",14
2020-07-16,"Real Madrid",12,"Villarreal",8
2020-07-16,"Sociedad",11,"Sevilla",8
2020-07-16,"Valencia",9,"Espanol",18
2020-07-19,"Alaves",8,"Barcelona",16
2020-07-19,"Valladolid",13,"Betis",10
2020-07-19,"Villarreal",12,"Eibar",11
2020-07-19,"Ath Madrid",6,"Sociedad",10
2020-07-19,"Espanol",8,"Celta",9
2020-07-19,"Granada",11,"Ath Bilbao",11
2020-07-19,"Leganes",15,"Real Madrid",7
2020-07-19,"Levante",13,"Getafe",13
2020-07-19,"Osasuna",12,"Mallorca",12
2020-07-19,"Sevilla",16,"Valencia",8
