"","Date","HomeTeam","HS","AwayTeam","AS"
"525",2018-12-08,"Villarreal",13,"Celta",14
"526",2018-12-09,"Betis",8,"Vallecano",12
"527",2018-12-09,"Eibar",32,"Levante",14
"528",2018-12-09,"Huesca",11,"Real Madrid",5
"529",2018-12-09,"Sociedad",23,"Valladolid",10
"530",2018-12-10,"Ath Bilbao",25,"Girona",3
"531",2018-12-14,"Celta",15,"Leganes",5
"532",2018-12-15,"Eibar",18,"Valencia",11
"533",2018-12-15,"Getafe",9,"Sociedad",9
"534",2018-12-15,"Real Madrid",9,"Vallecano",11
"535",2018-12-15,"Valladolid",8,"Ath Madrid",14
"536",2018-12-16,"Espanol",10,"Betis",12
"537",2018-12-16,"Huesca",30,"Villarreal",10
"538",2018-12-16,"Levante",20,"Barcelona",16
"539",2018-12-16,"Sevilla",17,"Girona",8
"540",2018-12-17,"Alaves",11,"Ath Bilbao",6
"541",2018-12-21,"Girona",12,"Getafe",5
"542",2018-12-21,"Sociedad",18,"Alaves",9
"543",2018-12-22,"Ath Bilbao",8,"Valladolid",5
"544",2018-12-22,"Ath Madrid",8,"Espanol",18
"545",2018-12-22,"Barcelona",9,"Celta",11
"546",2018-12-22,"Betis",4,"Eibar",15
"547",2018-12-23,"Leganes",13,"Sevilla",8
"548",2018-12-23,"Valencia",19,"Huesca",11
"549",2018-12-23,"Vallecano",18,"Levante",12
"550",2019-01-03,"Villarreal",12,"Real Madrid",14
"551",2019-01-04,"Espanol",12,"Leganes",10
"552",2019-01-04,"Levante",19,"Girona",9
"553",2019-01-05,"Alaves",14,"Valencia",14
"554",2019-01-05,"Huesca",11,"Betis",7
"555",2019-01-05,"Valladolid",12,"Vallecano",9
"556",2019-01-06,"Eibar",24,"Villarreal",7
"557",2019-01-06,"Getafe",10,"Barcelona",12
"558",2019-01-06,"Real Madrid",28,"Sociedad",12
"559",2019-01-06,"Sevilla",15,"Ath Madrid",12
"560",2019-01-07,"Celta",17,"Ath Bilbao",8
"561",2019-01-11,"Vallecano",11,"Celta",13
"562",2019-01-12,"Girona",9,"Alaves",15
"563",2019-01-12,"Leganes",14,"Huesca",9
"564",2019-01-12,"Valencia",17,"Valladolid",6
"565",2019-01-12,"Villarreal",17,"Getafe",9
"566",2019-01-13,"Ath Bilbao",10,"Sevilla",10
"567",2019-01-13,"Ath Madrid",19,"Levante",7
"568",2019-01-13,"Barcelona",7,"Eibar",15
"569",2019-01-13,"Betis",9,"Real Madrid",14
"570",2019-01-14,"Sociedad",9,"Espanol",21
"571",2019-01-18,"Getafe",12,"Alaves",6
"572",2019-01-19,"Celta",12,"Valencia",13
"573",2019-01-19,"Huesca",14,"Ath Madrid",15
"574",2019-01-19,"Real Madrid",23,"Sevilla",4
"575",2019-01-20,"Barcelona",15,"Leganes",5
"576",2019-01-20,"Betis",12,"Girona",8
"577",2019-01-20,"Levante",13,"Valladolid",13
"578",2019-01-20,"Vallecano",11,"Sociedad",10
"579",2019-01-20,"Villarreal",3,"Ath Bilbao",9
"580",2019-01-21,"Eibar",16,"Espanol",6
"581",2019-01-26,"Ath Madrid",10,"Getafe",6
"582",2019-01-26,"Leganes",9,"Eibar",5
"583",2019-01-26,"Sevilla",23,"Levante",7
"584",2019-01-26,"Valencia",18,"Villarreal",14
"585",2019-01-27,"Ath Bilbao",11,"Betis",8
"586",2019-01-27,"Espanol",13,"Real Madrid",16
"587",2019-01-27,"Girona",13,"Barcelona",15
"588",2019-01-27,"Sociedad",8,"Huesca",8
"589",2019-01-27,"Valladolid",19,"Celta",8
"590",2019-01-28,"Alaves",16,"Vallecano",14
"591",2019-02-01,"Huesca",11,"Valladolid",9
"592",2019-02-02,"Barcelona",20,"Valencia",14
"593",2019-02-02,"Celta",10,"Sevilla",13
"594",2019-02-02,"Levante",8,"Getafe",9
"595",2019-02-02,"Sociedad",6,"Ath Bilbao",8
"596",2019-02-03,"Betis",7,"Ath Madrid",13
"597",2019-02-03,"Eibar",17,"Girona",6
"598",2019-02-03,"Real Madrid",22,"Alaves",8
"599",2019-02-03,"Villarreal",14,"Espanol",17
"600",2019-02-04,"Vallecano",15,"Leganes",13
"601",2019-02-08,"Valladolid",9,"Villarreal",7
"602",2019-02-09,"Ath Madrid",11,"Real Madrid",11
"603",2019-02-09,"Espanol",15,"Vallecano",9
"604",2019-02-09,"Getafe",12,"Celta",13
"605",2019-02-09,"Girona",13,"Huesca",6
"606",2019-02-10,"Ath Bilbao",13,"Barcelona",10
"607",2019-02-10,"Leganes",16,"Betis",3
"608",2019-02-10,"Sevilla",13,"Eibar",8
"609",2019-02-10,"Valencia",10,"Sociedad",8
"610",2019-02-11,"Alaves",16,"Levante",8
"611",2019-02-15,"Eibar",11,"Getafe",7
"612",2019-02-16,"Barcelona",20,"Valladolid",10
"613",2019-02-16,"Celta",14,"Levante",14
"614",2019-02-16,"Sociedad",15,"Leganes",8
"615",2019-02-16,"Vallecano",12,"Ath Madrid",4
"616",2019-02-17,"Betis",19,"Alaves",6
"617",2019-02-17,"Real Madrid",19,"Girona",14
"618",2019-02-17,"Valencia",21,"Espanol",6
"619",2019-02-17,"Villarreal",12,"Sevilla",21
"620",2019-02-18,"Huesca",12,"Ath Bilbao",9
"621",2019-02-22,"Espanol",13,"Huesca",13
"622",2019-02-23,"Alaves",17,"Celta",8
"623",2019-02-23,"Ath Bilbao",9,"Eibar",7
"624",2019-02-23,"Getafe",11,"Vallecano",7
"625",2019-02-23,"Sevilla",13,"Barcelona",17
"626",2019-02-24,"Ath Madrid",15,"Villarreal",14
"627",2019-02-24,"Leganes",17,"Valencia",6
"628",2019-02-24,"Levante",11,"Real Madrid",19
"629",2019-02-24,"Valladolid",10,"Betis",6
"630",2019-02-25,"Girona",10,"Sociedad",7
"631",2019-03-01,"Vallecano",9,"Girona",12
"632",2019-03-02,"Espanol",15,"Valladolid",14
"633",2019-03-02,"Huesca",7,"Sevilla",12
"634",2019-03-02,"Real Madrid",17,"Barcelona",10
"635",2019-03-02,"Villarreal",9,"Alaves",10
"636",2019-03-03,"Betis",6,"Getafe",11
"637",2019-03-03,"Eibar",15,"Celta",3
"638",2019-03-03,"Sociedad",19,"Ath Madrid",8
"639",2019-03-03,"Valencia",11,"Ath Bilbao",4
"640",2019-03-04,"Leganes",14,"Levante",15
"641",2019-03-08,"Ath Bilbao",15,"Espanol",5
"642",2019-03-09,"Alaves",16,"Eibar",20
"643",2019-03-09,"Ath Madrid",13,"Leganes",3
"644",2019-03-09,"Barcelona",12,"Vallecano",8
"645",2019-03-09,"Getafe",14,"Huesca",8
"646",2019-03-10,"Celta",7,"Betis",14
"647",2019-03-10,"Girona",18,"Valencia",11
"648",2019-03-10,"Levante",11,"Villarreal",13
"649",2019-03-10,"Sevilla",22,"Sociedad",9
"650",2019-03-10,"Valladolid",10,"Real Madrid",15
"651",2019-03-15,"Sociedad",22,"Levante",8
"652",2019-03-16,"Ath Bilbao",9,"Ath Madrid",9
"653",2019-03-16,"Huesca",7,"Alaves",12
"654",2019-03-16,"Leganes",12,"Girona",8
"655",2019-03-16,"Real Madrid",22,"Celta",6
"656",2019-03-17,"Betis",13,"Barcelona",16
"657",2019-03-17,"Eibar",15,"Valladolid",8
"658",2019-03-17,"Espanol",13,"Sevilla",12
"659",2019-03-17,"Valencia",8,"Getafe",9
"660",2019-03-17,"Villarreal",12,"Vallecano",7
"661",2019-03-29,"Girona",6,"Ath Bilbao",8
"662",2019-03-30,"Alaves",14,"Ath Madrid",11
"663",2019-03-30,"Barcelona",13,"Espanol",4
"664",2019-03-30,"Celta",15,"Villarreal",14
"665",2019-03-30,"Getafe",9,"Leganes",7
"666",2019-03-31,"Levante",7,"Eibar",17
"667",2019-03-31,"Real Madrid",16,"Huesca",16
"668",2019-03-31,"Sevilla",17,"Valencia",4
"669",2019-03-31,"Valladolid",10,"Sociedad",10
"670",2019-03-31,"Vallecano",20,"Betis",7
"671",2019-04-02,"Ath Madrid",17,"Girona",12
"672",2019-04-02,"Espanol",9,"Getafe",13
"673",2019-04-02,"Villarreal",16,"Barcelona",15
"674",2019-04-03,"Ath Bilbao",14,"Levante",11
"675",2019-04-03,"Eibar",12,"Vallecano",13
"676",2019-04-03,"Huesca",23,"Celta",11
"677",2019-04-03,"Valencia",11,"Real Madrid",15
"678",2019-04-04,"Leganes",18,"Valladolid",8
"679",2019-04-04,"Sevilla",18,"Alaves",5
"680",2019-04-04,"Sociedad",15,"Betis",11
"681",2019-04-06,"Barcelona",21,"Ath Madrid",9
"682",2019-04-06,"Girona",14,"Espanol",9
"683",2019-04-06,"Real Madrid",13,"Eibar",3
"684",2019-04-06,"Vallecano",15,"Valencia",12
"685",2019-04-07,"Alaves",6,"Leganes",9
"686",2019-04-07,"Betis",17,"Villarreal",10
"687",2019-04-07,"Celta",11,"Sociedad",14
"688",2019-04-07,"Getafe",6,"Ath Bilbao",9
"689",2019-04-07,"Levante",14,"Huesca",17
"690",2019-04-07,"Valladolid",10,"Sevilla",16
"691",2019-04-13,"Ath Madrid",11,"Celta",10
"692",2019-04-13,"Espanol",6,"Alaves",14
"693",2019-04-13,"Huesca",6,"Barcelona",10
"694",2019-04-13,"Sevilla",11,"Betis",12
"695",2019-04-14,"Ath Bilbao",15,"Vallecano",8
"696",2019-04-14,"Girona",14,"Villarreal",17
"697",2019-04-14,"Sociedad",3,"Eibar",17
"698",2019-04-14,"Valencia",23,"Levante",6
"699",2019-04-14,"Valladolid",8,"Getafe",8
"700",2019-04-15,"Leganes",5,"Real Madrid",13
"701",2019-04-19,"Alaves",10,"Valladolid",12
"702",2019-04-20,"Barcelona",11,"Sociedad",9
"703",2019-04-20,"Celta",13,"Girona",9
"704",2019-04-20,"Eibar",10,"Ath Madrid",8
"705",2019-04-20,"Vallecano",16,"Huesca",10
"706",2019-04-21,"Betis",23,"Valencia",4
"707",2019-04-21,"Getafe",10,"Sevilla",12
"708",2019-04-21,"Levante",19,"Espanol",14
"709",2019-04-21,"Real Madrid",11,"Ath Bilbao",5
"710",2019-04-21,"Villarreal",11,"Leganes",6
"711",2019-04-23,"Alaves",6,"Barcelona",17
"712",2019-04-23,"Huesca",12,"Eibar",7
"713",2019-04-23,"Valladolid",13,"Girona",6
"714",2019-04-24,"Ath Madrid",14,"Valencia",12
"715",2019-04-24,"Espanol",9,"Celta",18
"716",2019-04-24,"Leganes",14,"Ath Bilbao",3
"717",2019-04-24,"Levante",6,"Betis",7
"718",2019-04-25,"Getafe",9,"Real Madrid",12
"719",2019-04-25,"Sevilla",20,"Vallecano",12
"720",2019-04-25,"Sociedad",13,"Villarreal",8
"721",2019-04-27,"Ath Bilbao",14,"Alaves",14
"722",2019-04-27,"Ath Madrid",13,"Valladolid",13
"723",2019-04-27,"Barcelona",23,"Levante",7
"724",2019-04-27,"Leganes",10,"Celta",8
"725",2019-04-28,"Girona",15,"Sevilla",7
"726",2019-04-28,"Sociedad",11,"Getafe",12
"727",2019-04-28,"Valencia",7,"Eibar",13
"728",2019-04-28,"Vallecano",11,"Real Madrid",9
"729",2019-04-28,"Villarreal",18,"Huesca",13
"730",2019-04-29,"Betis",18,"Espanol",10
"731",2019-05-03,"Sevilla",7,"Leganes",9
"732",2019-05-04,"Alaves",17,"Sociedad",9
"733",2019-05-04,"Celta",14,"Barcelona",8
"734",2019-05-04,"Espanol",11,"Ath Madrid",11
"735",2019-05-04,"Levante",12,"Vallecano",20
"736",2019-05-05,"Eibar",14,"Betis",12
"737",2019-05-05,"Getafe",13,"Girona",4
"738",2019-05-05,"Huesca",24,"Valencia",10
"739",2019-05-05,"Real Madrid",24,"Villarreal",15
"740",2019-05-05,"Valladolid",10,"Ath Bilbao",9
"741",2019-05-12,"Ath Bilbao",8,"Celta",3
"742",2019-05-12,"Ath Madrid",11,"Sevilla",11
"743",2019-05-12,"Barcelona",13,"Getafe",11
"744",2019-05-12,"Betis",17,"Huesca",9
"745",2019-05-12,"Girona",14,"Levante",6
"746",2019-05-12,"Leganes",11,"Espanol",19
"747",2019-05-12,"Sociedad",19,"Real Madrid",6
"748",2019-05-12,"Valencia",10,"Alaves",10
"749",2019-05-12,"Vallecano",16,"Valladolid",9
"750",2019-05-12,"Villarreal",11,"Eibar",4
"751",2019-05-18,"Alaves",14,"Girona",13
"752",2019-05-18,"Celta",14,"Vallecano",11
"753",2019-05-18,"Espanol",9,"Sociedad",11
"754",2019-05-18,"Getafe",17,"Villarreal",8
"755",2019-05-18,"Huesca",15,"Leganes",9
"756",2019-05-18,"Levante",17,"Ath Madrid",17
"757",2019-05-18,"Sevilla",9,"Ath Bilbao",9
"758",2019-05-18,"Valladolid",19,"Valencia",9
"759",2019-05-19,"Eibar",15,"Barcelona",6
"760",2019-05-19,"Real Madrid",9,"Betis",9
"761",2019-08-16,"Ath Bilbao",11,"Barcelona",11
"762",2019-08-17,"Celta",7,"Real Madrid",17
"763",2019-08-17,"Valencia",14,"Sociedad",12
"764",2019-08-17,"Mallorca",16,"Eibar",11
"765",2019-08-17,"Leganes",13,"Osasuna",4
"766",2019-08-17,"Villarreal",12,"Granada",14
"767",2019-08-18,"Alaves",9,"Levante",16
"768",2019-08-18,"Espanol",7,"Sevilla",12
"769",2019-08-18,"Betis",13,"Valladolid",14
"770",2019-08-18,"Ath Madrid",5,"Getafe",6
"771",2019-08-23,"Granada",12,"Sevilla",11
"772",2019-08-23,"Levante",16,"Villarreal",23
"773",2019-08-24,"Osasuna",6,"Eibar",12
"774",2019-08-24,"Real Madrid",22,"Valladolid",9
"775",2019-08-24,"Celta",11,"Valencia",9
"776",2019-08-24,"Getafe",6,"Ath Bilbao",4
"777",2019-08-25,"Alaves",10,"Espanol",5
"778",2019-08-25,"Mallorca",12,"Sociedad",12
"779",2019-08-25,"Leganes",10,"Ath Madrid",6
"780",2019-08-25,"Barcelona",20,"Betis",4
"781",2019-08-30,"Sevilla",19,"Celta",2
"782",2019-08-30,"Ath Bilbao",15,"Sociedad",2
"783",2019-08-31,"Osasuna",15,"Barcelona",8
"784",2019-08-31,"Getafe",15,"Alaves",5
"785",2019-08-31,"Levante",16,"Valladolid",15
"786",2019-08-31,"Betis",17,"Leganes",19
"787",2019-09-01,"Valencia",9,"Mallorca",12
"788",2019-09-01,"Ath Madrid",7,"Eibar",6
"789",2019-09-01,"Espanol",15,"Granada",14
"790",2019-09-01,"Villarreal",10,"Real Madrid",17
"791",2019-09-13,"Mallorca",10,"Ath Bilbao",11
"792",2019-09-14,"Real Madrid",25,"Levante",8
"793",2019-09-14,"Leganes",10,"Villarreal",8
"794",2019-09-14,"Sociedad",14,"Ath Madrid",12
"795",2019-09-14,"Barcelona",17,"Valencia",9
"796",2019-09-15,"Eibar",11,"Espanol",7
"797",2019-09-15,"Alaves",7,"Sevilla",19
"798",2019-09-15,"Celta",4,"Granada",13
"799",2019-09-15,"Valladolid",11,"Osasuna",17
"800",2019-09-15,"Betis",7,"Getafe",12
"801",2019-09-20,"Osasuna",12,"Betis",7
"802",2019-09-21,"Villarreal",18,"Valladolid",7
"803",2019-09-21,"Levante",13,"Eibar",18
"804",2019-09-21,"Ath Madrid",20,"Celta",6
"805",2019-09-21,"Granada",9,"Barcelona",8
"806",2019-09-22,"Getafe",14,"Mallorca",7
"807",2019-09-22,"Espanol",17,"Sociedad",10
"808",2019-09-22,"Valencia",13,"Leganes",13
"809",2019-09-22,"Ath Bilbao",13,"Alaves",5
"810",2019-09-22,"Sevilla",9,"Real Madrid",7
"811",2019-09-24,"Valladolid",9,"Granada",6
"812",2019-09-24,"Betis",17,"Levante",17
"813",2019-09-24,"Barcelona",8,"Villarreal",11
"814",2019-09-25,"Leganes",7,"Ath Bilbao",9
"815",2019-09-25,"Mallorca",9,"Ath Madrid",13
"816",2019-09-25,"Valencia",8,"Getafe",18
"817",2019-09-25,"Real Madrid",15,"Osasuna",4
"818",2019-09-26,"Eibar",11,"Sevilla",7
"819",2019-09-26,"Celta",14,"Espanol",10
"820",2019-09-26,"Sociedad",21,"Alaves",5
"821",2019-09-27,"Villarreal",17,"Betis",11
"822",2019-09-28,"Ath Bilbao",14,"Valencia",10
"823",2019-09-28,"Getafe",8,"Barcelona",10
"824",2019-09-28,"Granada",11,"Leganes",15
"825",2019-09-28,"Ath Madrid",7,"Real Madrid",14
"826",2019-09-29,"Espanol",16,"Valladolid",9
"827",2019-09-29,"Eibar",7,"Celta",3
"828",2019-09-29,"Alaves",11,"Mallorca",5
"829",2019-09-29,"Levante",10,"Osasuna",18
"830",2019-09-29,"Sevilla",21,"Sociedad",5
"831",2019-10-04,"Betis",12,"Eibar",8
"832",2019-10-05,"Leganes",25,"Levante",9
"833",2019-10-05,"Real Madrid",17,"Granada",8
"834",2019-10-05,"Valencia",11,"Alaves",10
"835",2019-10-05,"Osasuna",16,"Villarreal",16
"836",2019-10-06,"Mallorca",9,"Espanol",11
"837",2019-10-06,"Celta",13,"Ath Bilbao",6
"838",2019-10-06,"Valladolid",5,"Ath Madrid",9
"839",2019-10-06,"Sociedad",6,"Getafe",13
"840",2019-10-06,"Barcelona",15,"Sevilla",16
"841",2019-10-18,"Granada",6,"Osasuna",9
"842",2019-10-19,"Eibar",5,"Barcelona",9
"843",2019-10-19,"Ath Madrid",15,"Valencia",11
"844",2019-10-19,"Getafe",5,"Leganes",7
"845",2019-10-19,"Mallorca",5,"Real Madrid",13
"846",2019-10-20,"Alaves",12,"Celta",14
"847",2019-10-20,"Sociedad",18,"Betis",12
"848",2019-10-20,"Espanol",18,"Villarreal",11
"849",2019-10-20,"Ath Bilbao",19,"Valladolid",9
"850",2019-10-20,"Sevilla",19,"Levante",12
"851",2019-10-25,"Villarreal",19,"Alaves",12
"852",2019-10-26,"Leganes",9,"Mallorca",9
"853",2019-10-26,"Valladolid",8,"Eibar",13
"854",2019-10-26,"Ath Madrid",9,"Ath Bilbao",9
"855",2019-10-27,"Celta",9,"Sociedad",9
"856",2019-10-27,"Granada",13,"Betis",12
"857",2019-10-27,"Levante",7,"Espanol",14
"858",2019-10-27,"Sevilla",15,"Getafe",9
"859",2019-10-27,"Osasuna",21,"Valencia",2
"860",2019-10-29,"Alaves",11,"Ath Madrid",9
"861",2019-10-29,"Barcelona",18,"Valladolid",9
"862",2019-10-30,"Sociedad",17,"Levante",13
"863",2019-10-30,"Valencia",10,"Sevilla",10
"864",2019-10-30,"Ath Bilbao",7,"Espanol",12
"865",2019-10-30,"Betis",11,"Celta",18
"866",2019-10-30,"Real Madrid",22,"Leganes",5
"867",2019-10-31,"Eibar",25,"Villarreal",9
"868",2019-10-31,"Mallorca",11,"Osasuna",12
"869",2019-10-31,"Getafe",8,"Granada",10
"870",2019-11-02,"Espanol",13,"Valencia",11
"871",2019-11-02,"Levante",9,"Barcelona",9
"872",2019-11-02,"Sevilla",11,"Ath Madrid",14
"873",2019-11-02,"Real Madrid",22,"Betis",13
"874",2019-11-03,"Valladolid",12,"Mallorca",14
"875",2019-11-03,"Villarreal",11,"Ath Bilbao",12
"876",2019-11-03,"Osasuna",19,"Alaves",11
"877",2019-11-03,"Celta",6,"Getafe",9
"878",2019-11-03,"Leganes",12,"Eibar",7
"879",2019-11-03,"Granada",5,"Sociedad",9
"880",2019-11-08,"Sociedad",11,"Leganes",6
"881",2019-11-09,"Alaves",14,"Valladolid",7
"882",2019-11-09,"Valencia",12,"Granada",13
"883",2019-11-09,"Eibar",14,"Real Madrid",10
"884",2019-11-09,"Barcelona",10,"Celta",6
"885",2019-11-10,"Mallorca",5,"Villarreal",22
"886",2019-11-10,"Ath Bilbao",23,"Levante",8
"887",2019-11-10,"Ath Madrid",18,"Espanol",10
"888",2019-11-10,"Getafe",14,"Osasuna",4
"889",2019-11-10,"Betis",18,"Sevilla",10
"890",2019-11-22,"Levante",13,"Mallorca",14
"891",2019-11-23,"Leganes",9,"Barcelona",11
"892",2019-11-23,"Betis",25,"Valencia",9
"893",2019-11-23,"Granada",9,"Ath Madrid",17
"894",2019-11-23,"Real Madrid",18,"Sociedad",11
"895",2019-11-24,"Espanol",6,"Getafe",11
"896",2019-11-24,"Osasuna",12,"Ath Bilbao",6
"897",2019-11-24,"Eibar",18,"Alaves",7
"898",2019-11-24,"Villarreal",15,"Celta",11
"899",2019-11-24,"Valladolid",7,"Sevilla",4
"900",2019-11-29,"Celta",13,"Valladolid",9
"901",2019-11-30,"Alaves",8,"Real Madrid",12
"902",2019-11-30,"Sociedad",15,"Eibar",10
"903",2019-11-30,"Mallorca",16,"Betis",15
"904",2019-11-30,"Valencia",13,"Villarreal",24
"905",2019-12-01,"Sevilla",16,"Leganes",8
"906",2019-12-01,"Ath Bilbao",14,"Granada",8
"907",2019-12-01,"Espanol",12,"Osasuna",14
"908",2019-12-01,"Getafe",13,"Levante",7
"909",2019-12-01,"Ath Madrid",17,"Barcelona",13
"910",2019-12-06,"Villarreal",23,"Ath Madrid",18
"911",2019-12-07,"Real Madrid",18,"Espanol",6
"912",2019-12-07,"Granada",13,"Alaves",5
"913",2019-12-07,"Levante",17,"Valencia",10
"914",2019-12-07,"Barcelona",25,"Mallorca",9
"915",2019-12-08,"Eibar",6,"Getafe",6
"916",2019-12-08,"Betis",10,"Ath Bilbao",8
"917",2019-12-08,"Valladolid",4,"Sociedad",16
"918",2019-12-08,"Leganes",15,"Celta",9
"919",2019-12-08,"Osasuna",10,"Sevilla",13
"920",2019-12-13,"Alaves",10,"Leganes",3
"921",2019-12-14,"Granada",18,"Levante",13
"922",2019-12-14,"Sociedad",19,"Barcelona",9
"923",2019-12-14,"Ath Bilbao",8,"Eibar",8
"924",2019-12-14,"Ath Madrid",19,"Osasuna",15
"925",2019-12-15,"Getafe",7,"Valladolid",10
"926",2019-12-15,"Celta",18,"Mallorca",8
"927",2019-12-15,"Espanol",16,"Betis",10
"928",2019-12-15,"Sevilla",24,"Villarreal",9
"929",2019-12-15,"Valencia",9,"Real Madrid",19
"930",2019-12-18,"Barcelona",9,"Real Madrid",17
"931",2019-12-20,"Eibar",21,"Granada",12
"932",2019-12-21,"Mallorca",8,"Sevilla",13
"933",2019-12-21,"Barcelona",8,"Alaves",5
"934",2019-12-21,"Villarreal",11,"Getafe",7
"935",2019-12-21,"Valladolid",14,"Valencia",5
"936",2019-12-22,"Leganes",11,"Espanol",9
"937",2019-12-22,"Osasuna",19,"Sociedad",13
"938",2019-12-22,"Betis",15,"Ath Madrid",8
"939",2019-12-22,"Levante",13,"Celta",12
"940",2019-12-22,"Real Madrid",20,"Ath Bilbao",8
"941",2020-01-03,"Valladolid",14,"Leganes",12
"942",2020-01-03,"Sevilla",9,"Ath Bilbao",6
"943",2020-01-04,"Valencia",9,"Eibar",10
"944",2020-01-04,"Getafe",15,"Real Madrid",10
"945",2020-01-04,"Ath Madrid",17,"Levante",6
"946",2020-01-04,"Espanol",8,"Barcelona",14
"947",2020-01-05,"Granada",7,"Mallorca",17
"948",2020-01-05,"Sociedad",10,"Villarreal",14
"949",2020-01-05,"Alaves",6,"Betis",10
"950",2020-01-05,"Celta",20,"Osasuna",8
"951",2020-01-17,"Leganes",8,"Getafe",8
"952",2020-01-18,"Levante",20,"Alaves",14
"953",2020-01-18,"Real Madrid",13,"Sevilla",8
"954",2020-01-18,"Osasuna",21,"Valladolid",5
"955",2020-01-18,"Eibar",9,"Ath Madrid",12
"956",2020-01-19,"Mallorca",13,"Valencia",8
"957",2020-01-19,"Betis",14,"Sociedad",7
"958",2020-01-19,"Villarreal",21,"Espanol",16
"959",2020-01-19,"Ath Bilbao",22,"Celta",7
"960",2020-01-19,"Barcelona",18,"Granada",5
"961",2020-01-24,"Osasuna",15,"Levante",6
"962",2020-01-25,"Espanol",9,"Ath Bilbao",11
"963",2020-01-25,"Valencia",8,"Barcelona",14
"964",2020-01-25,"Alaves",12,"Villarreal",11
"965",2020-01-25,"Sevilla",12,"Granada",8
"966",2020-01-26,"Ath Madrid",14,"Leganes",10
"967",2020-01-26,"Celta",18,"Eibar",5
"968",2020-01-26,"Getafe",7,"Betis",8
"969",2020-01-26,"Sociedad",14,"Mallorca",8
"970",2020-01-26,"Valladolid",4,"Real Madrid",12
"971",2020-02-01,"Granada",8,"Espanol",22
"972",2020-02-01,"Real Madrid",16,"Ath Madrid",4
"973",2020-02-01,"Mallorca",16,"Valladolid",15
"974",2020-02-01,"Valencia",9,"Celta",11
"975",2020-02-02,"Leganes",12,"Sociedad",2
"976",2020-02-02,"Eibar",8,"Betis",14
"977",2020-02-02,"Ath Bilbao",8,"Getafe",9
"978",2020-02-02,"Sevilla",14,"Alaves",4
"979",2020-02-02,"Villarreal",9,"Osasuna",17
"980",2020-02-02,"Barcelona",23,"Levante",10
"981",2020-02-07,"Alaves",9,"Eibar",5
"982",2020-02-08,"Levante",9,"Leganes",12
"983",2020-02-08,"Getafe",22,"Valencia",5
"984",2020-02-08,"Valladolid",8,"Villarreal",8
"985",2020-02-08,"Ath Madrid",6,"Granada",10
"986",2020-02-09,"Espanol",12,"Mallorca",7
"987",2020-02-09,"Sociedad",14,"Ath Bilbao",6
"988",2020-02-09,"Osasuna",14,"Real Madrid",17
"989",2020-02-09,"Celta",13,"Sevilla",12
"990",2020-02-09,"Betis",7,"Barcelona",10
"991",2020-02-14,"Valencia",9,"Ath Madrid",8
"992",2020-02-15,"Mallorca",14,"Alaves",10
"993",2020-02-15,"Barcelona",12,"Getafe",7
"994",2020-02-15,"Villarreal",14,"Levante",11
"995",2020-02-15,"Granada",11,"Valladolid",6
"996",2020-02-16,"Sevilla",18,"Espanol",5
"997",2020-02-16,"Leganes",11,"Betis",3
"998",2020-02-16,"Ath Bilbao",12,"Osasuna",6
"999",2020-02-16,"Real Madrid",15,"Celta",5
"1000",2020-02-21,"Betis",19,"Mallorca",11
"1001",2020-02-22,"Celta",3,"Leganes",11
"1002",2020-02-22,"Barcelona",13,"Eibar",12
"1003",2020-02-22,"Sociedad",19,"Valencia",6
"1004",2020-02-22,"Levante",8,"Real Madrid",19
"1005",2020-02-23,"Osasuna",14,"Granada",10
"1006",2020-02-23,"Alaves",4,"Ath Bilbao",13
"1007",2020-02-23,"Valladolid",21,"Espanol",6
"1008",2020-02-23,"Getafe",10,"Sevilla",8
"1009",2020-02-23,"Ath Madrid",16,"Villarreal",10
"1010",2020-02-28,"Sociedad",13,"Valladolid",6
"1011",2020-02-29,"Eibar",13,"Levante",11
"1012",2020-02-29,"Valencia",10,"Betis",14
"1013",2020-02-29,"Leganes",19,"Alaves",8
"1014",2020-02-29,"Granada",14,"Celta",6
"1015",2020-03-01,"Sevilla",12,"Osasuna",14
"1016",2020-03-01,"Ath Bilbao",18,"Villarreal",10
"1017",2020-03-01,"Espanol",9,"Ath Madrid",5
"1018",2020-03-01,"Mallorca",4,"Getafe",9
"1019",2020-03-01,"Real Madrid",13,"Barcelona",9
"1020",2020-03-06,"Alaves",13,"Valencia",6
"1021",2020-03-07,"Eibar",13,"Mallorca",10
"1022",2020-03-07,"Ath Madrid",21,"Sevilla",12
"1023",2020-03-07,"Barcelona",13,"Sociedad",9
"1024",2020-03-07,"Getafe",19,"Celta",3
"1025",2020-03-08,"Osasuna",17,"Espanol",8
"1026",2020-03-08,"Valladolid",19,"Ath Bilbao",10
"1027",2020-03-08,"Levante",11,"Granada",10
"1028",2020-03-08,"Villarreal",15,"Leganes",12
"1029",2020-03-08,"Betis",14,"Real Madrid",13
"1030",2020-03-10,"Eibar",13,"Sociedad",6
"1031",2020-06-11,"Sevilla",13,"Betis",12
"1032",2020-06-12,"Granada",10,"Getafe",6
"1033",2020-06-12,"Valencia",12,"Levante",14
"1034",2020-06-13,"Espanol",19,"Alaves",1
"1035",2020-06-13,"Celta",4,"Villarreal",15
"1036",2020-06-13,"Leganes",11,"Valladolid",6
"1037",2020-06-13,"Mallorca",13,"Barcelona",12
