"","Date","HomeTeam","HS","AwayTeam","AS"
"122",17-11-25,"Alaves",6,"Eibar",11
"123",17-11-25,"Betis",12,"Girona",13
"124",17-11-25,"Levante",17,"Ath Madrid",16
"125",17-11-25,"Real Madrid",16,"Malaga",9
"126",17-11-26,"La Coruna",14,"Ath Bilbao",10
"127",17-11-26,"Sociedad",16,"Las Palmas",8
"128",17-11-26,"Valencia",8,"Barcelona",12
"129",17-11-26,"Villarreal",19,"Sevilla",15
"130",17-11-27,"Espanol",10,"Getafe",7
"131",17-12-01,"Malaga",18,"Levante",3
"132",17-12-02,"Ath Bilbao",11,"Real Madrid",19
"133",17-12-02,"Ath Madrid",16,"Sociedad",10
"134",17-12-02,"Barcelona",21,"Celta",10
"135",17-12-02,"Sevilla",10,"La Coruna",11
"136",17-12-03,"Eibar",10,"Espanol",6
"137",17-12-03,"Getafe",11,"Valencia",13
"138",17-12-03,"Las Palmas",21,"Betis",8
"139",17-12-03,"Leganes",12,"Villarreal",12
"140",17-12-04,"Girona",11,"Alaves",9
"141",17-12-08,"Alaves",22,"Las Palmas",6
"142",17-12-09,"Getafe",6,"Eibar",7
"143",17-12-09,"La Coruna",15,"Leganes",3
"144",17-12-09,"Real Madrid",20,"Sevilla",11
"145",17-12-09,"Valencia",13,"Celta",13
"146",17-12-10,"Betis",9,"Ath Madrid",4
"147",17-12-10,"Levante",12,"Ath Bilbao",14
"148",17-12-10,"Sociedad",18,"Malaga",9
"149",17-12-10,"Villarreal",9,"Barcelona",16
"150",17-12-11,"Espanol",8,"Girona",12
"151",17-12-15,"Sevilla",16,"Levante",10
"152",17-12-16,"Ath Bilbao",7,"Sociedad",10
"153",17-12-16,"Ath Madrid",10,"Alaves",11
"154",17-12-16,"Eibar",15,"Valencia",7
"155",17-12-17,"Barcelona",23,"La Coruna",10
"156",17-12-17,"Celta",10,"Villarreal",8
"157",17-12-17,"Girona",9,"Getafe",7
"158",17-12-17,"Las Palmas",14,"Espanol",8
"159",17-12-18,"Malaga",18,"Betis",10
"160",17-12-19,"Levante",10,"Leganes",10
"161",17-12-20,"Getafe",13,"Las Palmas",17
"162",17-12-20,"Sociedad",14,"Sevilla",9
"163",17-12-21,"Alaves",10,"Malaga",10
"164",17-12-21,"Eibar",16,"Girona",6
"165",17-12-22,"Betis",16,"Ath Bilbao",19
"166",17-12-22,"Espanol",7,"Ath Madrid",9
"167",17-12-23,"La Coruna",15,"Celta",7
"168",17-12-23,"Real Madrid",14,"Barcelona",18
"169",17-12-23,"Valencia",22,"Villarreal",9
"170",18-01-06,"Ath Madrid",9,"Getafe",10
"171",18-01-06,"Las Palmas",4,"Eibar",14
"172",18-01-06,"Sevilla",14,"Betis",9
"173",18-01-06,"Valencia",17,"Girona",11
"174",18-01-07,"Ath Bilbao",14,"Alaves",8
"175",18-01-07,"Barcelona",16,"Levante",9
"176",18-01-07,"Celta",10,"Real Madrid",19
"177",18-01-07,"Leganes",8,"Sociedad",9
"178",18-01-07,"Villarreal",11,"La Coruna",13
"179",18-01-08,"Malaga",17,"Espanol",6
"180",18-01-12,"Getafe",7,"Malaga",9
"181",18-01-13,"Eibar",11,"Ath Madrid",7
"182",18-01-13,"Girona",15,"Las Palmas",3
"183",18-01-13,"La Coruna",12,"Valencia",12
